country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
PHL,Philippines,2011,33.7137308957813,19.0031008581416,29.7500335472144,33.0613320582048,26.5559260623316,37.6665830089456,18.3441471112875,9.88938824222288,435.4414,2.5554577,21.59678,14.71312
PHL,Philippines,2014,37.8502966258972,24.4019510347799,35.8537760093803,36.8281231627235,31.2858339239034,40.0997997052911,19.046571689323,18.0376718059275,452.18677,2.0246867,19.79133,14.78559
PHL,Philippines,2017,38.8541642161096,30.0197018084674,38.828045359477,41.3527665190642,34.4984075658533,45.3628130848128,23.5157571459351,18.0263524230537,507.03578,1.5793112,21.11479,11.93041
PHL,Philippines,2021,47.4188134768543,55.5939212451991,55.7488258751791,61.1750789264629,51.3717638928697,62.797730476437,40.1691111803325,33.98739740938,,,24.13341,19.15868
PHL,Philippines,2024,57.1016109576105,43.0424000013443,48.1663078389787,57.9031088518301,50.1824221429254,60.6849094992164,55.1122806971337,34.4399006408424,,,,
RUS,Russian Federation,2011,47.7032339699392,48.7808673835128,51.8357321869112,54.6660230202077,48.1784884899677,53.3652034805974,32.8140302361327,40.3803436350401,,6.590142,7.385437,10.87796
RUS,Russian Federation,2014,70.1926594732869,63.7995263903731,69.8901212915978,73.1600825017837,67.3830915085391,70.1715627553989,54.435395814334,63.193370344131,,6.7309646,6.317936,15.45736
RUS,Russian Federation,2017,76.1313651837693,75.3035306840176,77.5269064636933,79.5802937775409,75.7588881016081,79.4358344710309,66.9292945195195,70.2362145633353,,10.001412,7.379331,13.52475
RUS,Russian Federation,2021,90.1117314127973,89.2579846288031,89.0201998593646,90.4941180659288,89.7193266222482,92.3204028092508,93.4904659268054,85.8112011007402,,,6.866006,17.92812
RUS,Russian Federation,2024,77.2673546557224,81.6495846664745,77.977678819665,81.3682355856549,79.3421267068262,85.1523932813798,88.4517352052366,70.6261391166153,,,,
SEN,Senegal,2011,,,,,5.82114104684157,,,,135.45329,16.200001,16.5556,3.716611
SEN,Senegal,2014,11.3995503750679,19.9265014425026,19.9401460898221,27.2755617624923,15.4245720927038,22.7210334368313,6.7508113449652,4.39199935748873,168.35705,20.799999,11.45501,6.569547
SEN,Senegal,2017,38.4496103387527,46.7249590495597,46.5296563939329,54.1467252439845,42.3440153574227,47.5735478237024,34.4454577099133,34.4888347107049,192.99704,,14.24647,7.287295
SEN,Senegal,2021,50.2954307722249,62.3053673015685,60.137013396539,70.6811092235239,55.9644071481718,61.1354869527433,47.8284441356774,48.1770202506046,,,,8.791516
SEN,Senegal,2024,73.5941345823606,79.6122559003812,82.7972700681902,84.2715537594639,76.4609257473503,81.436888359536,63.2600737309056,68.994436090772,,,,
SGP,Singapore,2011,98.2117918109462,98.2323412520886,98.9549563388416,99.9225330256893,98.221892306584,,94.7077487910268,,2079.4634,1.0604556,33.22896,58.40991
SGP,Singapore,2014,96.0721173983754,96.6438153798121,97.0340159458897,96.7506742371198,96.3525997735924,96.4045369141784,92.9417797125114,96.2746371408949,2176.4075,0.75653286,30.30799,46.20675
